round,case_id,complexity,tier,tier_name,status,precision_diagnostica,apego_guias,completitud,utilidad_clinica,composite,errores_graves,alucinaciones
v1,1,simple,light,Light (llama8b-onco),success,1,0,0,0,0.25,"['Solicitar repetir biopsia cuando ya se tiene diagnóstico histopatológico confirmado', 'No reconocer la urgencia de iniciar tratamiento sistémico en HER2+ de 2.8cm', ""Clasificar erróneamente como 'subtipo luminal' un tumor RE/RP negativo"", 'No mencionar tratamiento neoadyuvante con anti-HER2 que es el estándar de cuidado']","[""Afirmar que HER2+ con RE/RP negativos es un 'subtipo luminal'"", ""Sugerir que se necesita 'evaluar la extensión de la enfermedad' con biopsia cuando ya se tiene TAC sin metástasis""]"
v1,1,simple,light_rag,Light+RAG (llama8b-onco + RAG),success,2,0,1,0,0.75,"['Recomendar cirugía primaria en lugar de neoadyuvancia para carcinoma HER2+ de 2.8cm', 'No reconocer que el tumor HER2+ requiere terapia anti-HER2 obligatoria', 'No mencionar trastuzumab + pertuzumab que son estándar de cuidado']",['Afirmar que la mastectomía con preservación de piel es la opción preferida sin considerar el contexto HER2+']
v1,1,simple,basico_a,Básico A (MiniMax-M1 80K),success,5,2,2,2,2.75,"['No incluye pertuzumab en el esquema neoadyuvante (estándar actual es THP o TCHP)', 'No menciona evaluación de respuesta patológica completa (pCR) como factor decisivo', 'No incluye T-DM1 como tratamiento adyuvante en caso de enfermedad residual', 'Recomienda esquema AC-T obsoleto en lugar de regímenes actuales sin antraciclinas']","[""Menciona 'evaluación clínica y radiológica después de cada ciclo' sin respaldo en guías"", 'Sugiere considerar disección axilar con mastectomía en N0, lo cual no es estándar']"
v1,1,simple,basico_b,Básico B (GPT-oss 20B),success,0,0,0,0,0.0,"['No identificar la indicación de terapia neoadyuvante en HER2+ estadio IIA', 'No mencionar el esquema estándar con pertuzumab + trastuzumab + quimioterapia', 'Respuesta completamente desorganizada e incoherente', 'No proporcionar ningún plan de tratamiento estructurado']",[]
v1,1,simple,premium,Premium (Sonnet 4.6),success,4,2,2,2,2.5,"['Recomienda antraciclinas + taxanos cuando el estándar actual para HER2+ es TCHP o THP sin antraciclinas', 'No especifica el esquema de doble bloqueo anti-HER2 (trastuzumab + pertuzumab) como estándar', ""Menciona T-DM1 solo como 'considerar' cuando es el estándar obligatorio si no hay pCR"", 'No especifica la duración total del tratamiento anti-HER2 (1 año total incluyendo neoadyuvancia y adyuvancia)']","[""Menciona que 'trastuzumab + pertuzumab' es 'según disponibilidad' cuando es el estándar de cuidado actual"", ""Sugiere 'disección axilar nivel I/II' como opción equivalente al ganglio centinela en N0 clínico""]"
v1,2,complejo,light,Light (llama8b-onco),success,3,1,1,0,1.3,"[""Recomienda 'berahaluronidasa alfa-pmph' que no es un medicamento oncológico real"", 'No especifica las quimioterapias apropiadas para combinar con pembrolizumab', 'Omite completamente el manejo de metástasis óseas sintomáticas']","['Berahaluronidasa alfa-pmph como tratamiento oncológico', 'Niveles de evidencia 2A sin respaldo específico de las guías']"
v1,2,complejo,light_rag,Light+RAG (llama8b-onco + RAG),success,0,0,0,0,0.0,"['Recomendar inhibidores de PARP en paciente BRCA wild-type', 'Ignorar completamente PD-L1 CPS 15 positivo', 'No recomendar pembrolizumab + quimioterapia como primera línea', 'Afirmar falsamente que existe respaldo de guías NCCN/ESMO para PARP en BRCA wild-type']","['NCCN 2024 nivel de evidencia 2A para PARP inhibidores en BRCA wild-type', 'ESMO 2024 nivel de evidencia 3 para PARP inhibidores en BRCA wild-type', 'Indicación de olaparib, niraparib, rucaparib en ausencia de mutación BRCA']"
v1,2,complejo,basico_a,Básico A (MiniMax-M1 80K),success,4,2,2,3,2.7,"['Recomienda atezolizumab en lugar de pembrolizumab como primera línea para PD-L1 positivo', 'No menciona el punto de corte CPS ≥10 para elegibilidad de inmunoterapia', 'Omite completamente el manejo de metástasis óseas con bifosfonatos/denosumab']","['Afirma que atezolizumab + nab-paclitaxel es el tratamiento de primera línea actual según NCCN 2024 y ESMO, cuando estas guías actualizadas recomiendan pembrolizumab']"
v1,2,complejo,basico_b,Básico B (GPT-oss 20B),success,0,0,0,0,0.0,"['Sugerir terapia endocrina para cáncer triple negativo', 'No reconocer PD-L1 CPS 15 como indicación para pembrolizumab', 'No mencionar inmunoterapia como primera línea estándar', 'Respuesta incoherente y repetitiva que no proporciona tratamiento adecuado']","['Considerar terapia endocrina para triple negativo', 'Mencionar trastuzumab para HER2 negativo', ""Texto repetitivo sin sentido sobre 'treatment del cáncer mamario 2025'""]"
v1,2,complejo,premium,Premium (Sonnet 4.6),success,5,3,3,4,3.7,[],['Afirma que la progresión dentro de los primeros 12 meses post-adyuvancia define resistencia a la quimioterapia previa - este criterio temporal específico no está establecido en las guías proporcionadas']
